name,url,description,duration,adaptive_support,remote_support,test_type
Business Communication Adaptive,https://www.shl.com/products/product-catalog/view/business-communication-adaptive/,SHL assessment used for talent evaluation.,-1,Yes,Yes,['Personality & Behavior']
English Comprehension New,https://www.shl.com/products/product-catalog/view/english-comprehension-new/,SHL assessment used for talent evaluation.,-1,Yes,Yes,['Knowledge & Skills']
Enterprise Leadership Report 2 0,https://www.shl.com/products/product-catalog/view/enterprise-leadership-report-2-0/,SHL assessment used for talent evaluation.,-1,Yes,Yes,['Personality & Behavior']
Enterprise Leadership Report,https://www.shl.com/products/product-catalog/view/enterprise-leadership-report/,SHL assessment used for talent evaluation.,-1,Yes,Yes,['Personality & Behavior']
Interpersonal Communications,https://www.shl.com/products/product-catalog/view/interpersonal-communications/,SHL assessment used for talent evaluation.,-1,Yes,Yes,['Personality & Behavior']
Occupational Personality Questionnaire Opq32R,https://www.shl.com/products/product-catalog/view/occupational-personality-questionnaire-opq32r/,SHL assessment used for talent evaluation.,-1,Yes,Yes,['Personality & Behavior']
Professional 7 1 Solution,https://www.shl.com/products/product-catalog/view/professional-7-1-solution/,SHL assessment used for talent evaluation.,-1,Yes,Yes,['Knowledge & Skills']
Administrative Professional Short Form,https://www.shl.com/solutions/products/product-catalog/view/administrative-professional-short-form/,SHL assessment used for talent evaluation.,-1,Yes,Yes,['Knowledge & Skills']
Automata Fix New,https://www.shl.com/solutions/products/product-catalog/view/automata-fix-new/,SHL assessment used for talent evaluation.,-1,Yes,Yes,['Knowledge & Skills']
Automata Selenium,https://www.shl.com/solutions/products/product-catalog/view/automata-selenium/,SHL assessment used for talent evaluation.,-1,Yes,Yes,['Knowledge & Skills']
Automata Sql New,https://www.shl.com/solutions/products/product-catalog/view/automata-sql-new/,SHL assessment used for talent evaluation.,-1,Yes,Yes,['Knowledge & Skills']
Bank Administrative Assistant Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-administrative-assistant-short-form/,SHL assessment used for talent evaluation.,-1,Yes,Yes,['Knowledge & Skills']
Basic Computer Literacy Windows 10 New,https://www.shl.com/solutions/products/product-catalog/view/basic-computer-literacy-windows-10-new/,SHL assessment used for talent evaluation.,-1,Yes,Yes,['Knowledge & Skills']
Core Java Advanced Level New,https://www.shl.com/solutions/products/product-catalog/view/core-java-advanced-level-new/,SHL assessment used for talent evaluation.,-1,Yes,Yes,['Knowledge & Skills']
Core Java Entry Level New,https://www.shl.com/solutions/products/product-catalog/view/core-java-entry-level-new/,SHL assessment used for talent evaluation.,-1,Yes,Yes,['Knowledge & Skills']
Css3 New,https://www.shl.com/solutions/products/product-catalog/view/css3-new/,SHL assessment used for talent evaluation.,-1,Yes,Yes,['Knowledge & Skills']
Data Warehousing Concepts,https://www.shl.com/solutions/products/product-catalog/view/data-warehousing-concepts/,SHL assessment used for talent evaluation.,-1,Yes,Yes,['Knowledge & Skills']
Digital Advertising New,https://www.shl.com/solutions/products/product-catalog/view/digital-advertising-new/,SHL assessment used for talent evaluation.,-1,Yes,Yes,['Knowledge & Skills']
